minecraft:air, Air
minecraft:stone, Stone
minecraft:granite, Granite
minecraft:polished_granite, Polished Granite
minecraft:diorite, Diorite
minecraft:polished_diorite, Polished Diorite
minecraft:andesite, Andesite
minecraft:polished_andesite, Polished Andesite
minecraft:grass_block, Grass Block
minecraft:dirt, Dirt
minecraft:coarse_dirt, Coarse Dirt
minecraft:cobblestone, Cobblestone
minecraft:oak_planks, Oak Planks
minecraft:spruce_planks, Spruce Planks
minecraft:birch_planks, Birch Planks
minecraft:jungle_planks, Jungle Planks
minecraft:acacia_planks, Acacia Planks
minecraft:dark_oak_planks, Dark Oak Planks
minecraft:oak_sapling, Oak Sapling
minecraft:spruce_sapling, Spruce Sapling
minecraft:birch_sapling, Birch Sapling
minecraft:jungle_sapling, Jungle Sapling
minecraft:acacia_sapling, Acacia Sapling
minecraft:dark_oak_sapling, Dark Oak Sapling
minecraft:bedrock, Bedrock
minecraft:flowing_water, Flowing Water
minecraft:water, Water
minecraft:flowing_lava, Flowing Lava
minecraft:lava, Lava
minecraft:sand, Sand
minecraft:red_sand, Red Sand
minecraft:gravel, Gravel
minecraft:gold_ore, Gold Ore
minecraft:iron_ore, Iron Ore
minecraft:coal_ore, Coal Ore
minecraft:oak_log, Oak Log
minecraft:spruce_log, Spruce Log
minecraft:birch_log, Birch Log
minecraft:jungle_log, Jungle Log
minecraft:oak_leaves, Oak Leaves
minecraft:spruce_leaves, Spruce Leaves
minecraft:birch_leaves, Birch Leaves
minecraft:jungle_leaves, Jungle Leaves
minecraft:sponge, Sponge
minecraft:wet_sponge, Wet Sponge
minecraft:glass, Glass
minecraft:lapis_ore, Lapis Lazuli Ore
minecraft:lapis_block, Lapis Lazuli Block
minecraft:dispenser, Dispenser
minecraft:sandstone, Sandstone
minecraft:chiseled_sandstone, Chiseled Sandstone
minecraft:cut_sandstone, Cut Sandstone
minecraft:smooth_sandstone, Smooth Sandstone
minecraft:note_block, Note Block
minecraft:white_bed, White Bed
minecraft:orange_bed, Orange Bed
minecraft:magenta_bed, Magenta Bed
minecraft:light_blue_bed, Light Blue Bed
minecraft:yellow_bed, Yellow Bed
minecraft:lime_bed, Lime Bed
minecraft:pink_bed, Pink Bed
minecraft:gray_bed, Gray Bed
minecraft:light_gray_bed, Light Gray Bed
minecraft:cyan_bed, Cyan Bed
minecraft:purple_bed, Purple Bed
minecraft:blue_bed, Blue Bed
minecraft:brown_bed, Brown Bed
minecraft:green_bed, Green Bed
minecraft:red_bed, Red Bed
minecraft:black_bed, Black Bed
minecraft:powered_rail, Powered Rail
minecraft:detector_rail, Detector Rail
minecraft:sticky_piston, Sticky Piston
minecraft:cobweb, Cobweb
minecraft:grass, Grass
minecraft:fern, Fern
minecraft:dead_bush, Dead Bush
minecraft:piston, Piston
minecraft:piston_head, Piston Head
minecraft:white_wool, White Wool
minecraft:orange_wool, Orange Wool
minecraft:magenta_wool, Magenta Wool
minecraft:light_blue_wool, Light Blue Wool
minecraft:yellow_wool, Yellow Wool
minecraft:lime_wool, Lime Wool
minecraft:pink_wool, Pink Wool
minecraft:gray_wool, Gray Wool
minecraft:light_gray_wool, Light Gray Wool
minecraft:cyan_wool, Cyan Wool
minecraft:purple_wool, Purple Wool
minecraft:blue_wool, Blue Wool
minecraft:brown_wool, Brown Wool
minecraft:green_wool, Green Wool
minecraft:red_wool, Red Wool
minecraft:black_wool, Black Wool
minecraft:dandelion, Dandelion
minecraft:cornflower, Cornflower
minecraft:poppy, Poppy
minecraft:blue_orchid, Blue Orchid
minecraft:allium, Allium
minecraft:azure_bluet, Azure Bluet
minecraft:red_tulip, Red Tulip
minecraft:orange_tulip, Orange Tulip
minecraft:white_tulip, White Tulip
minecraft:pink_tulip, Pink Tulip
minecraft:oxeye_daisy, Oxeye Daisy
minecraft:lily_of_the_valley, Lily of the Valley
minecraft:brown_mushroom, Brown Mushroom
minecraft:red_mushroom, Red Mushroom
minecraft:gold_block, Block of Gold
minecraft:iron_block, Block of Iron
minecraft:double_stone_slab, Stone Slab
minecraft:double_sandstone_slab, Sandstone Slab
minecraft:double_petrified_oak_slab, Double Petrified Oak Slab
minecraft:double_cobblestone_slab, Cobblestone Slab
minecraft:double_brick_slab, Brick Slab
minecraft:double_stone_brick_slab, Stone Brick Slab
minecraft:double_quartz_slab, Quartz Slab
minecraft:double_nether_brick_slab, Nether Brick Slab
minecraft:smooth_stone_slab, Smooth Stone Slab
minecraft:sandstone_slab, Sandstone Slab
minecraft:petrified_oak_slab, Petrified Oak Slab
minecraft:cobblestone_slab, Cobblestone Slab
minecraft:brick_slab, Brick Slab
minecraft:stone_brick_slab, Stone Brick Slab
minecraft:quartz_slab, Quartz Slab
minecraft:nether_brick_slab, Nether Brick Slab
minecraft:bricks, Bricks
minecraft:tnt, TNT
minecraft:bookshelf, Bookshelf
minecraft:mossy_cobblestone, Mossy Cobblestone
minecraft:obsidian, Obsidian
minecraft:wall_torch, Wall Torch
minecraft:torch, Torch
minecraft:fire, Fire
minecraft:spawner, Spawner
minecraft:oak_stairs, Oak Stairs
minecraft:chest, Chest
minecraft:redstone_wire, Redstone Dust
minecraft:diamond_ore, Diamond Ore
minecraft:diamond_block, Block of Diamond
minecraft:crafting_table, Crafting Table
minecraft:wheat, Wheat Crops
minecraft:farmland, Farmland
minecraft:furnace, Furnace
minecraft:lit_furnace, Lit Furnace
minecraft:oak_sign, Oak Sign
minecraft:sign, Sign
minecraft:oak_door, Oak Door
minecraft:ladder, Ladder
minecraft:rail, Rail
minecraft:cobblestone_stairs, Cobblestone Stairs
minecraft:oak_wall_sign, Oak Wall Sign
minecraft:wall_sign, Wall Sign
minecraft:lever, Lever
minecraft:stone_pressure_plate, Stone Pressure Plate
minecraft:iron_door, Iron Door
minecraft:oak_pressure_plate, Oak Pressure Plate
minecraft:redstone_ore, Redstone Ore
